name,label,prob
aassnaulhq.mp4,real,0.512521
aayfryxljh.mp4,fake,0.7539896
acazlolrpz.mp4,fake,0.6004981
adohdulfwb.mp4,fake,0.8479709
ahjnxtiamx.mp4,real,0.5790833
ajiyrjfyzp.mp4,fake,0.7370854
aktnlyqpah.mp4,fake,0.5405872
alrtntfxtd.mp4,fake,0.8878177
aomqqjipcp.mp4,fake,0.8177553
apedduehoy.mp4,fake,0.8731692
apvzjkvnwn.mp4,fake,0.5788896
aqrsylrzgi.mp4,fake,0.8864399
axfhbpkdlc.mp4,fake,0.5612709
ayipraspbn.mp4,fake,0.8383645
bcbqxhziqz.mp4,fake,0.8240262
bcvheslzrq.mp4,fake,0.7943707
bdshuoldwx.mp4,fake,0.9264108
bfdopzvxbi.mp4,fake,0.854907
bfjsthfhbd.mp4,fake,0.6884561
bjyaxvggle.mp4,fake,0.8333567
bkcyglmfci.mp4,fake,0.5455118
bktkwbcawi.mp4,fake,0.8399749
bkuzquigyt.mp4,fake,0.9191771
blnmxntbey.mp4,fake,0.8161793
blszgmxkvu.mp4,fake,0.9127932
bnuwxhfahw.mp4,fake,0.8871886
bofrwgeyjo.mp4,fake,0.7977554
btdxnajogv.mp4,fake,0.8966339
bvpeerislp.mp4,real,0.5525324
bwdmzwhdnw.mp4,fake,0.9435555
bzvzpwrabw.mp4,fake,0.8757792
cekarydqba.mp4,fake,0.5825861
cekwtyxdoo.mp4,real,0.6895898
cjkctqqakb.mp4,fake,0.786926
cnpanmywno.mp4,fake,0.9124956
cnxccbjlct.mp4,real,0.7130647
coqwgzpbhx.mp4,fake,0.9179419
cosghhimnd.mp4,fake,0.6464234
coujjnypba.mp4,fake,0.8089947
cqhwesrciw.mp4,real,0.5801126
cqxxumarvp.mp4,fake,0.9021965
csnkohqxdv.mp4,fake,0.8995425
cxsvvnxpyz.mp4,fake,0.8420691
czfqlbcfpa.mp4,fake,0.6196146
dcqodpzomd.mp4,real,0.5329753
ddtbarpcgo.mp4,fake,0.7319242
demuhxssgl.mp4,fake,0.9312672
didzujjhtg.mp4,fake,0.9705429
dkuqbduxev.mp4,fake,0.9238127
dmmvuaikkv.mp4,fake,0.8141097
dnmowthjcj.mp4,fake,0.8300726
doniqevxeg.mp4,fake,0.8140774
dozjwhnedd.mp4,fake,0.9729084
dpevefkefv.mp4,real,0.8584125
dpmgoiwhuf.mp4,fake,0.7633728
dsnxgrfdmd.mp4,real,0.672204
dtozwcapoa.mp4,fake,0.9149961
dvkdfhrpph.mp4,fake,0.9503465
dvtpwatuja.mp4,fake,0.7370326
dvwpvqdflx.mp4,fake,0.9139572
dxfdovivlw.mp4,fake,0.8420505
dxgnpnowgk.mp4,fake,0.8082985
dyjklprkoc.mp4,fake,0.8085782
dzkyxbbqkr.mp4,fake,0.7481346
dzojiwfvba.mp4,fake,0.6895854
ecumyiowzs.mp4,fake,0.6456902
eisofhptvk.mp4,fake,0.8415028
ekboxwrwuv.mp4,fake,0.9332307
ekelfsnqof.mp4,fake,0.9063201
ekvwecwltj.mp4,fake,0.7564052
elackxuccp.mp4,fake,0.6291106
eppyqpgewp.mp4,fake,0.619524
eqslzbqfea.mp4,fake,0.880914
eryjktdexi.mp4,fake,0.9448206
esjdyghhog.mp4,fake,0.7214424
esmqxszybs.mp4,fake,0.8456054
espkiocpxq.mp4,fake,0.6446233
etdliwticv.mp4,real,0.6487891
evysmtpnrf.mp4,real,0.6085442
eyguqfmgzh.mp4,fake,0.9273747
eywdmustbb.mp4,fake,0.864357
famlupsgqm.mp4,real,0.8749571
fddmkqjwsh.mp4,fake,0.7555014
fjrueenjyp.mp4,fake,0.9125001
fjxovgmwnm.mp4,fake,0.8973402
fmhiujydwo.mp4,fake,0.9304785
fmvvmcbdrw.mp4,fake,0.6765903
fneqiqpqvs.mp4,fake,0.9575936
fnxgqcvlsd.mp4,fake,0.9587618
fopjiyxiqd.mp4,fake,0.6620228
fpevfidstw.mp4,fake,0.8237736
